# Simulation Log - 2025-06-29 22:28:24
# --- CONFIGURATION ---
# Agent Type: stochastic
# Food Preset: three_lines_dense
# num_agents: 1
# fps: 60
# spawn_point: (350.0, 300.0)
# initial_orientation_deg: 0.0
# speed_freq_scale: 30.0
# output_time_scale_frames: 30
# left_rand_freq: 1.0
# right_rand_freq: 1.0
# --- DATA ---
# frame,agent_id,pos_x,pos_y,angle_rad
1,0,350.00,300.00,0.0000
2,0,350.00,300.00,0.0000
3,0,350.00,300.00,0.0000
4,0,350.00,300.00,0.0000
5,0,350.00,300.00,0.0000
6,0,350.00,300.00,0.0000
7,0,350.00,300.00,0.0000
8,0,350.00,300.00,0.0000
9,0,350.00,300.00,0.0000
10,0,350.00,300.00,0.0000
11,0,350.00,300.00,0.0000
12,0,350.00,300.00,0.0000
13,0,350.00,300.00,0.0000
14,0,350.00,300.00,0.0000
15,0,350.00,300.00,0.0000
16,0,350.00,300.00,0.0000
17,0,350.00,300.00,0.0000
18,0,350.00,300.00,0.0000
19,0,350.00,300.00,0.0000
20,0,350.00,300.00,0.0000
21,0,350.00,300.00,0.0000
22,0,350.00,300.00,0.0000
23,0,350.00,300.00,0.0000
24,0,350.00,300.00,0.0000
25,0,350.00,300.00,0.0000
26,0,350.00,300.00,0.0000
27,0,350.00,300.00,0.0000
28,0,350.00,300.00,0.0000
29,0,352.15,299.99,6.2783
30,0,354.30,299.97,6.2734
31,0,356.46,299.94,6.2685
32,0,358.61,299.89,6.2636
33,0,360.76,299.84,6.2587
34,0,362.91,299.78,6.2538
35,0,365.06,299.71,6.2490
36,0,367.21,299.62,6.2441
37,0,369.36,299.53,6.2392
38,0,371.51,299.42,6.2343
39,0,373.66,299.31,6.2294
40,0,375.81,299.18,6.2245
41,0,377.96,299.04,6.2196
42,0,380.10,298.90,6.2147
43,0,382.25,298.74,6.2098
44,0,384.40,298.57,6.2050
45,0,386.54,298.39,6.2001
46,0,388.68,298.20,6.1952
47,0,390.83,298.00,6.1903
48,0,392.97,297.79,6.1854
49,0,395.11,297.57,6.1805
50,0,397.25,297.34,6.1756
51,0,399.39,297.10,6.1707
52,0,401.52,296.85,6.1658
53,0,403.66,296.58,6.1609
54,0,405.80,296.31,6.1561
55,0,407.93,296.03,6.1512
56,0,410.06,295.73,6.1463
57,0,412.19,295.43,6.1414
58,0,414.32,295.12,6.1365
59,0,415.41,294.93,6.1155
60,0,416.50,294.72,6.0945
61,0,417.59,294.49,6.0735
62,0,418.67,294.24,6.0525
63,0,419.74,293.96,6.0314
64,0,420.81,293.66,6.0104
65,0,421.87,293.34,5.9894
66,0,422.92,293.00,5.9684
67,0,423.97,292.63,5.9474
68,0,425.01,292.25,5.9264
69,0,426.04,291.84,5.9054
70,0,427.06,291.41,5.8844
