: 614/437 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 614/437 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 614/437 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 614/437 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 614/437 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 614/437.5 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 614/438 : Time 5, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 613/438 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 613/438 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 613/438 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 613/438 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 613/438 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 613/438.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 613/438.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 613/439 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 613/439 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 612/439 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 612/439 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 612/439 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 612/439.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 612/439.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 612/439.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 612/440 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 612/440 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 611/440 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 611/440 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 611/440.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 611/440.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 611/440.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 611/440.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 611/440.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 610/441 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 610/441 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 610/441.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 610/441.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 610/441.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 610/441.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 610/441.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 610/441.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 609/441.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 609/441.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
