: 718/224 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 718/224 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 718/224 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 718/224 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 718/224 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 718/224.5 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 718/225 : Time 5, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717/225 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717/225 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717/225 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717/225 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717/225 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717/225.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717/225.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717/226 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717/226 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 716/226 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 716/226 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 716/226 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 716/226.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 716/226.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 716/226.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 716/227 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 716/227 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 715/227 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 715/227 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 715/227.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 715/227.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 715/227.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 715/227.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 715/227.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 714/228 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 714/228 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 714/228.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 714/228.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 714/228.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 714/228.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 714/228.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 714/228.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 713/228.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 713/228.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 713/229.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 713/229.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 713/229.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 713/229.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712.5/229.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712/229.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712/229.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712/229.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712/229.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712/230.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712/230.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711.5/230.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/230.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/230.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/230.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/230.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/230.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710.5/230.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710.5/231 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710/231 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710/231 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710/231.5 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710/231.5 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709.5/231.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709.5/231.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709/231.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709/231.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709/232 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709/232 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708.5/232 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708.5/232 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708.5/232 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708/232 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708/232 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708/232.5 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707.5/232.5 : Time 37, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707.5/233 : Time 37, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707.5/233 : Time 37, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707/233 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707/233 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707/233 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706.5/233 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706.5/233 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706.5/233 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
