: 543/336 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 543/336 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 543/336 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 543/336 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 543/336 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 543/336.5 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 543/337 : Time 5, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 542/337 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 542/337 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 542/337 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 542/337 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 542/337 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 542/337.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 542/337.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 542/338 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 542/338 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 541/338 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 541/338 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 541/338 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 541/338.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 541/338.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 541/338.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 541/339 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 541/339 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 540/339 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 540/339 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 540/339.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 540/339.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 540/339.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 540/339.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 540/339.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 539/340 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 539/340 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 539/340.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 539/340.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 539/340.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 539/340.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 539/340.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 539/340.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 538/340.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 538/340.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 538/341.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 538/341.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 538/341.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 538/341.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 537.5/341.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 537/341.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 537/341.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 537/341.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 537/341.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 537/342.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 537/342.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 536.5/342.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 536/342.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 536/342.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 536/342.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 536/342.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 536/342.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 535.5/342.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 535.5/343 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 535/343 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 535/343 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 535/343.5 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 535/343.5 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 534.5/343.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 534.5/343.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 534/343.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 534/343.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 534/344 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 534/344 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 533.5/344 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 533.5/344 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 533.5/344 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 533/344 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 533/344 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
