: 556/318 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 556/318 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 556/318 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 556/318 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 556/318 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 556/318.5 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 556/319 : Time 5, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 555/319 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 555/319 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 555/319 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 555/319 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 555/319 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 555/319.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 555/319.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 555/320 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 555/320 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 554/320 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 554/320 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 554/320 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 554/320.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 554/320.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 554/320.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 554/321 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 554/321 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 553/321 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 553/321 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 553/321.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 553/321.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 553/321.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 553/321.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 553/321.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 552/322 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 552/322 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 552/322.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 552/322.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 552/322.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 552/322.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 552/322.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 552/322.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 551/322.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 551/322.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 551/323.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 551/323.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 551/323.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 551/323.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 550.5/323.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 550/323.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 550/323.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 550/323.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 550/323.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 550/324.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 550/324.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 549.5/324.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 549/324.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 549/324.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 549/324.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 549/324.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 549/324.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 548.5/324.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 548.5/325 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 548/325 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 548/325 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 548/325.5 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 548/325.5 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 547.5/325.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 547.5/325.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 547/325.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 547/325.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 547/326 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 547/326 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 546.5/326 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 546.5/326 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 546.5/326 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 546/326 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 546/326 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 546/326.5 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 545.5/326.5 : Time 37, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 545.5/327 : Time 37, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 545.5/327 : Time 37, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 545/327 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 545/327 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 545/327 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 544.5/327 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 544.5/327 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 544.5/327 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 544/327 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 544/327 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 544/327 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 543.5/327 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 543.5/327.5 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 543.5/327.5 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 543/327.5 : Time 43, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 543/328 : Time 43, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 542.5/328 : Time 45, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 542.5/328 : Time 45, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 542.5/328 : Time 45, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 542.5/328 : Time 45, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 542/328 : Time 45, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 542/328 : Time 45, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 541.5/328 : Time 47, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 541.5/328 : Time 47, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 541.5/328 : Time 47, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 541.5/328 : Time 47, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 541/328 : Time 47, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 541/328.5 : Time 49, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 540.5/328 : Time 49, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 540.5/328 : Time 49, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 540.5/328.5 : Time 49, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 540.5/328.5 : Time 49, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 540/328.5 : Time 51, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 539.5/328.5 : Time 51, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 539.5/328.5 : Time 51, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 539.5/328.5 : Time 51, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 539.5/328.5 : Time 51, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 539.5/328.5 : Time 51, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 538.5/328.5 : Time 53, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 538.5/328.5 : Time 53, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 538.5/328.5 : Time 53, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 538.5/328.5 : Time 53, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 538.5/329 : Time 53, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 538.5/329 : Time 53, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 537.5/329 : Time 55, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 537.5/329 : Time 55, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 537.5/329 : Time 55, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 537.5/329 : Time 55, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 537.5/329 : Time 55, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 537/329 : Time 55, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 536.5/329 : Time 57, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 536.5/329.5 : Time 57, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 536.5/329.5 : Time 57, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 536.5/329 : Time 57, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 536/329.5 : Time 57, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 536/329.5 : Time 57, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 535.5/329.5 : Time 59, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 535.5/329.5 : Time 59, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 535.5/329.5 : Time 59, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 535/329.5 : Time 59, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 535/329.5 : Time 59, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 534.5/329.5 : Time 61, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 534.5/329.5 : Time 61, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 534.5/329.5 : Time 61, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 534.5/329.5 : Time 61, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 534/329.5 : Time 61, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 534/329.5 : Time 61, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 533.5/329.5 : Time 63, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 533.5/329.5 : Time 63, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 533.5/329.5 : Time 63, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 533/329.5 : Time 63, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 533/329.5 : Time 63, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 533/329.5 : Time 63, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 532.5/329.5 : Time 65, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 532.5/329.5 : Time 65, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 532/329.5 : Time 65, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 532/329.5 : Time 65, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 532/329.5 : Time 65, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 532/329.5 : Time 65, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 531.5/329.5 : Time 67, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 531/329.5 : Time 67, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 531/329.5 : Time 67, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 531/329.5 : Time 67, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 531/329 : Time 69, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 531/329.5 : Time 69, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 530/329 : Time 71, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 530/329 : Time 71, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 530/329 : Time 71, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 530/329 : Time 71, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 530/329 : Time 71, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 529/329 : Time 73, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 529/329 : Time 73, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 529/329 : Time 73, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 529/329 : Time 73, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 529/329 : Time 73, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 529/329 : Time 73, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 528/329 : Time 75, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 528/329 : Time 75, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 528/329 : Time 75, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 528/329 : Time 75, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 528/329 : Time 75, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 527.5/328.5 : Time 75, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 527/329 : Time 77, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 527/328.5 : Time 77, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 527/328.5 : Time 77, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 527/328.5 : Time 77, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 526.5/328.5 : Time 77, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 526.5/328.5 : Time 77, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 526/328.5 : Time 79, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 526/329 : Time 79, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 526/329 : Time 79, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 526/329 : Time 79, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 526/329 : Time 79, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 526/329.5 : Time 81, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 526/329.5 : Time 81, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 526/329.5 : Time 81, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 526/330 : Time 81, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 525.5/330 : Time 81, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 525.5/330 : Time 81, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 525.5/330.5 : Time 83, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 525/330.5 : Time 83, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 525/330.5 : Time 83, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 525/331 : Time 85, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 525/331 : Time 85, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 525/331 : Time 85, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 525/331.5 : Time 85, L1 State: GL--, L2 State: GL--, (1 - 0): 
