Type 6: rect. pattern
: 712/223 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712/223 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712/223 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712/223 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712/223 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712/223.5 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 712/224 : Time 5, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/224 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/224 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/224 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/224 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/224 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/224.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/224.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/225 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 711/225 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710/225 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710/225 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710/225 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710/225.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710/225.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710/225.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710/226 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 710/226 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709/226 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709/226 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709/226.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709/226.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709/226.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709/226.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 709/226.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708/227 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708/227 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708/227.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708/227.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708/227.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708/227.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708/227.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 708/227.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707/227.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707/227.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707/228.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707/228.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707/228.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 707/228.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706.5/228.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706/228.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706/228.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706/228.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706/228.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706/229.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 706/229.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 705.5/229.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 705/229.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 705/229.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 705/229.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 705/229.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 705/229.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 704.5/229.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 704.5/230 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 704/230 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 704/230 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 704/230.5 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 704/230.5 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 703.5/230.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 703.5/230.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 703/230.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 703/230.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 703/231 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 703/231 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 702.5/231 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 702.5/231 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 702.5/231 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 702/231 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 702/231 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 702/231.5 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701.5/231.5 : Time 37, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701.5/232 : Time 37, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701.5/232 : Time 37, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701/232 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 701/232 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
