: 592/189 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592/189 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592/189 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592/189 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592/189 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592/190 : Time 5, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592/190 : Time 5, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592/190 : Time 5, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 592/190 : Time 5, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/190.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/191 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/191 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/191 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/191 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/191.5 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/191.5 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/192 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/192 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 591/192 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590/192 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590/192.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590/192.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590/193 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590/193 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590/193 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590/193.5 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 590/193.5 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589.5/193.5 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589/194 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589/194 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589/194.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589/194.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589/194.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589/194.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 589/194.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 588.5/195.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 588/195.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 588/195.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 588/195.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 588/195.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 588/195.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 588/196.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 587.5/196.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 587/196.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 587/196.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 587/196.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 587/196.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 587/197 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 587/197.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 586.5/197.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 586.5/197.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 586/197.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 586/197.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 586/198 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 586/198 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 586/198 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 585.5/198.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 585/198.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 585/198.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 585/199 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 585/199 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 585/199 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 584.5/199.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 584.5/199.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 584/199.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 584/199.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 584/200 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 584/200 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 583.5/200 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 583.5/200 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 583/200 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 583/200.5 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 583/200.5 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 583/200.5 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 582.5/201 : Time 37, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 582.5/201 : Time 37, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 582/201 : Time 37, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 582/201 : Time 37, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 582/201 : Time 37, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 582/201 : Time 37, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 581.5/202 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 581.5/202 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 581.5/202 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 581/202 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 581/202 : Time 39, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 580.5/202 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 580.5/202 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 580.5/202 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 580/202 : Time 41, L1 State: GL-L, L2 State: GL--, (0 - 0): 
