: 729/270 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 729/270 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 729/270 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 729/270 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 729/270 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 729/270.5 : Time 3, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 729/271 : Time 5, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 728/271 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 728/271 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 728/271 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 728/271 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 728/271 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 728/271.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 728/271.5 : Time 7, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 728/272 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 728/272 : Time 9, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 727/272 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 727/272 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 727/272 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 727/272.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 727/272.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 727/272.5 : Time 11, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 727/273 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 727/273 : Time 13, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 726/273 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 726/273 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 726/273.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 726/273.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 726/273.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 726/273.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 726/273.5 : Time 15, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 725/274 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 725/274 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 725/274.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 725/274.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 725/274.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 725/274.5 : Time 17, L1 State: GL--, L2 State: GL--, (0 - 0): 
